127.0.0.1 - - [07/Jul/2019:21:27:36 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Jul/2019:21:31:22 +0900] "GET /HelloJSP/ HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [07/Jul/2019:21:41:39 +0900] "GET /HelloJSP/ HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [07/Jul/2019:21:51:17 +0900] "GET /HelloJSP/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [07/Jul/2019:21:57:47 +0900] "GET /HelloJSP/ HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [07/Jul/2019:21:57:55 +0900] "GET /HelloJSP/ HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [07/Jul/2019:21:57:58 +0900] "GET /HelloJSP/ HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [07/Jul/2019:22:05:51 +0900] "GET /HelloJSP/ HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [07/Jul/2019:22:06:07 +0900] "GET /HelloJSP/ HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [07/Jul/2019:22:16:12 +0900] "GET /HelloJSP/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [07/Jul/2019:22:16:28 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 303
